Kundennummer;12345678;;
Kundenname;Mustermann Max;;
ZP-Nummer;AT0070000XXXX10000000000000XXXXXX;;
Beginn;27.03.2024;;
Ende;01.05.2024;;
Energierichtung;Verbrauch gemessen;;
;;;
;;;
Datum;Zeit;kWh;Status
31.03.2024;01:45:00;0,117;Der Wert ist gültig
31.03.2024;03:00:00;0,158;Der Wert ist gültig
31.03.2024;03:15:00;0,494;Der Wert ist gültig
31.03.2024;03:30:00;0,131;Der Wert ist gültig
31.03.2024;03:45:00;0,128;Der Wert ist gültig
31.03.2024;04:00:00;0,128;Der Wert ist gültig
31.03.2024;04:15:00;0,261;Der Wert ist gültig
31.03.2024;04:30:00;0,129;Der Wert ist gültig
31.03.2024;04:45:00;0,12;Der Wert ist gültig
31.03.2024;05:00:00;0,124;Der Wert ist gültig
31.03.2024;05:15:00;0,156;Der Wert ist gültig
31.03.2024;05:30:00;0,121;Der Wert ist gültig
31.03.2024;05:45:00;0,125;Der Wert ist gültig
31.03.2024;06:00:00;0,126;Der Wert ist gültig
31.03.2024;06:15:00;0,117;Der Wert ist gültig
31.03.2024;06:30:00;0,124;Der Wert ist gültig
31.03.2024;06:45:00;0,125;Der Wert ist gültig
31.03.2024;07:00:00;0,148;Der Wert ist gültig
31.03.2024;07:15:00;0,165;Der Wert ist gültig
31.03.2024;07:30:00;0,193;Der Wert ist gültig
31.03.2024;07:45:00;0,213;Der Wert ist gültig
31.03.2024;08:00:00;0,177;Der Wert ist gültig
31.03.2024;08:15:00;0,223;Der Wert ist gültig
31.03.2024;08:30:00;0,218;Der Wert ist gültig
31.03.2024;08:45:00;0,234;Der Wert ist gültig
31.03.2024;09:00:00;0,335;Der Wert ist gültig
31.03.2024;09:15:00;0,228;Der Wert ist gültig
31.03.2024;09:30:00;0,204;Der Wert ist gültig
31.03.2024;09:45:00;0,181;Der Wert ist gültig
31.03.2024;10:00:00;0,199;Der Wert ist gültig
31.03.2024;10:15:00;0,212;Der Wert ist gültig
31.03.2024;10:30:00;0,192;Der Wert ist gültig
31.03.2024;10:45:00;0,211;Der Wert ist gültig
31.03.2024;11:00:00;0,201;Der Wert ist gültig
31.03.2024;11:15:00;0,173;Der Wert ist gültig
31.03.2024;11:30:00;0,187;Der Wert ist gültig
31.03.2024;11:45:00;0,182;Der Wert ist gültig
31.03.2024;12:00:00;0,21;Der Wert ist gültig
31.03.2024;12:15:00;0,219;Der Wert ist gültig
31.03.2024;12:30:00;0,227;Der Wert ist gültig
31.03.2024;12:45:00;0,3;Der Wert ist gültig
31.03.2024;13:00:00;0,313;Der Wert ist gültig
31.03.2024;13:15:00;0,23;Der Wert ist gültig
31.03.2024;13:30:00;0,628;Der Wert ist gültig
31.03.2024;13:45:00;0,479;Der Wert ist gültig
31.03.2024;14:00:00;0,204;Der Wert ist gültig
31.03.2024;14:15:00;0,445;Der Wert ist gültig
31.03.2024;14:30:00;0,219;Der Wert ist gültig
31.03.2024;14:45:00;0,163;Der Wert ist gültig
31.03.2024;15:00:00;0,168;Der Wert ist gültig
31.03.2024;15:15:00;0,17;Der Wert ist gültig
31.03.2024;15:30:00;0,163;Der Wert ist gültig
31.03.2024;15:45:00;0,143;Der Wert ist gültig
31.03.2024;16:00:00;0,129;Der Wert ist gültig
31.03.2024;16:15:00;0,16;Der Wert ist gültig
31.03.2024;16:30:00;0,153;Der Wert ist gültig
31.03.2024;16:45:00;0,143;Der Wert ist gültig
31.03.2024;17:00:00;0,155;Der Wert ist gültig
31.03.2024;17:15:00;0,144;Der Wert ist gültig
31.03.2024;17:30:00;0,142;Der Wert ist gültig
31.03.2024;17:45:00;0,141;Der Wert ist gültig
31.03.2024;18:00:00;0,149;Der Wert ist gültig
31.03.2024;18:15:00;0,15;Der Wert ist gültig
31.03.2024;18:30:00;0,155;Der Wert ist gültig
31.03.2024;18:45:00;0,129;Der Wert ist gültig
31.03.2024;19:00:00;0,136;Der Wert ist gültig
31.03.2024;19:15:00;0,155;Der Wert ist gültig
31.03.2024;19:30:00;0,155;Der Wert ist gültig
31.03.2024;19:45:00;0,141;Der Wert ist gültig
31.03.2024;20:00:00;0,162;Der Wert ist gültig
31.03.2024;20:15:00;0,176;Der Wert ist gültig
31.03.2024;20:30:00;0,219;Der Wert ist gültig
31.03.2024;20:45:00;0,215;Der Wert ist gültig
31.03.2024;21:00:00;0,212;Der Wert ist gültig
31.03.2024;21:15:00;0,238;Der Wert ist gültig
31.03.2024;21:30:00;0,199;Der Wert ist gültig
31.03.2024;21:45:00;0,186;Der Wert ist gültig
31.03.2024;22:00:00;0,18;Der Wert ist gültig
31.03.2024;22:15:00;0,165;Der Wert ist gültig
31.03.2024;22:30:00;0,165;Der Wert ist gültig
